Zone,MAE_Scaled,MAE_gCO2_kWh,MAPE_Robust,Train_Size,Val_Size,Test_Size
DE,0.2233249992132187,31.48883051170833,193.580949928238,1975,987,988
US-MIDA-PJM,0.23172752559185028,12.976741193483273,506.4171501341183,2046,1023,1024
US-NW-PACW,0.3754464387893677,16.89509330349469,41.55821524296522,1956,978,979
IE,0.5797309875488281,48.11767149473492,76.44285190957775,2088,1044,1045
SG,0.40330740809440613,22.181908688197552,85.02408114709618,2046,1023,1024
BE,0.5258759260177612,27.345546056826908,66.97303241694445,2046,1023,1024
US-MIDW-MISO,0.14283666014671326,15.283522751690946,18.00683195410825,1956,978,979
JP-TK,0.313881516456604,95.10608123166244,31.802537664434656,1956,978,979
