Zone,Test_MAE,Test_MAPE,Train_Size,Val_Size,Test_Size
DE,0.41127637028694153,92992088.0,2136,1068,1069
US-MIDA-PJM,0.5947450399398804,218036784.0,2136,1068,1069
US-NW-PACW,0.1456887125968933,18.457624435424805,2136,1068,1069
IE,0.4992671310901642,82.96780395507812,2136,1068,1069
SG,0.3259913921356201,171.3311767578125,2136,1068,1069
BE,0.08247917890548706,10.701691627502441,2136,1068,1069
US-MIDW-MISO,0.06626974791288376,8.15420913696289,2136,1068,1069
JP-TK,0.2663370370864868,28.246768951416016,2136,1068,1069
