datetime,carbon_normalized,hour_sin,hour_cos,month_sin,month_cos,is_weekend,is_night,day_of_week,time_of_day,carbon_lag_1_normalized,carbon_lag_24_normalized,carbon_lag_168_normalized,carbon_rolling_mean_24_normalized,renewable_pct_normalized,renewable_lag_1_normalized,renewable_lag_3_normalized,renewable_rolling_mean_6_normalized,solar_normalized,solar_lag_1_normalized,wind_normalized,wind_lag_1_normalized,coal_normalized,gas_normalized,fossil_pct_normalized,fossil_lag_1_normalized,clean_pct_normalized,nuclear_normalized,hydro_normalized
2025-11-18 18:00:00+00:00,0.0,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384,0,0,1,2,0.0,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-18 19:00:00+00:00,0.20588235294117752,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384,0,0,1,3,0.0,,,0.15778688524590123,0.8333333333333335,1.0,1.0,0.9117647058823528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-18 20:00:00+00:00,0.3235294117647065,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,0,1,1,3,0.20588235294117752,,,0.2704918032786878,0.6666666666666667,0.8333333333333335,1.0,0.8235294117647056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-18 21:00:00+00:00,0.529411764705884,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,0,1,1,3,0.3235294117647065,,,0.40573770491803174,0.5,0.6666666666666667,1.0,0.7352941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-18 22:00:00+00:00,0.8529411764705905,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,0,1,1,3,0.529411764705884,,,0.5860655737704903,0.16666666666666674,0.5,0.8333333333333335,0.611764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-18 23:00:00+00:00,1.0,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384,0,1,1,3,0.8529411764705905,,,0.7438524590163951,0.0,0.16666666666666674,0.6666666666666667,0.4999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 00:00:00+00:00,0.9705882352941195,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,1,2,0,1.0,,,0.8501170960187387,0.0,0.0,0.5,0.32352941176470584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 01:00:00+00:00,0.9411764705882355,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384,0,1,2,0,0.9705882352941195,,,0.9241803278688536,0.0,0.0,0.16666666666666674,0.17647058823529416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 02:00:00+00:00,0.8529411764705905,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384,0,1,2,0,0.9411764705882355,,,0.9667577413479087,0.0,0.0,0.0,0.05882352941176472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 03:00:00+00:00,0.764705882352942,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384,0,1,2,0,0.8529411764705905,,,0.9872950819672148,0.16666666666666674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 04:00:00+00:00,0.735294117647058,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,0,1,2,0,0.764705882352942,,,1.0,0.16666666666666674,0.16666666666666674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 05:00:00+00:00,0.617647058823529,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384,0,1,2,0,0.735294117647058,,,0.9955601092896202,0.16666666666666674,0.16666666666666674,0.0,0.02941176470588247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 06:00:00+00:00,0.35294117647059053,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384,0,0,2,0,0.617647058823529,,,0.9605926860025207,0.3333333333333335,0.16666666666666674,0.16666666666666674,0.08823529411764697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 07:00:00+00:00,0.29411764705882604,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384,0,0,2,1,0.35294117647059053,,,0.9241803278688536,0.3333333333333335,0.3333333333333335,0.16666666666666674,0.1470588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 08:00:00+00:00,0.264705882352942,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,0,0,2,1,0.29411764705882604,,,0.8896174863387998,0.3333333333333335,0.3333333333333335,0.16666666666666674,0.2058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 09:00:00+00:00,0.264705882352942,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,0,0,2,1,0.264705882352942,,,0.859375,0.3333333333333335,0.3333333333333335,0.3333333333333335,0.23529411764705865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 10:00:00+00:00,0.235294117647058,0.49999999999999994,-0.8660254037844387,-0.5000000000000004,0.8660254037844384,0,0,2,1,0.264705882352942,,,0.8300385728061705,0.3333333333333335,0.3333333333333335,0.3333333333333335,0.26470588235294135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 11:00:00+00:00,0.20588235294117752,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384,0,0,2,1,0.235294117647058,,,0.8014571948998217,0.5,0.3333333333333335,0.3333333333333335,0.32352941176470584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 12:00:00+00:00,0.3235294117647065,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,0,0,2,1,0.20588235294117752,,,0.7853753235547885,0.5,0.5,0.3333333333333335,0.3529411764705883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 13:00:00+00:00,0.0,-0.2588190451025208,-0.9659258262890683,-0.5000000000000004,0.8660254037844384,0,0,2,2,0.3235294117647065,,,0.7461065573770469,0.8333333333333335,0.5,0.3333333333333335,0.4411764705882355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
