datetime,carbon_normalized,hour_sin,hour_cos,month_sin,month_cos,is_weekend,is_night,day_of_week,time_of_day,carbon_lag_1_normalized,carbon_lag_24_normalized,carbon_lag_168_normalized,carbon_rolling_mean_24_normalized,renewable_pct_normalized,renewable_lag_1_normalized,renewable_lag_3_normalized,renewable_rolling_mean_6_normalized,solar_normalized,solar_lag_1_normalized,wind_normalized,wind_lag_1_normalized,coal_normalized,gas_normalized,fossil_pct_normalized,fossil_lag_1_normalized,clean_pct_normalized,nuclear_normalized,hydro_normalized
2025-11-18 16:00:00+00:00,0.6710526315789469,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,0,0,1,2,0.71830985915493,,,1.0,0.45454545454545414,0.45454545454545414,0.45454545454545414,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-18 17:00:00+00:00,0.6184210526315788,-0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384,0,0,1,2,0.71830985915493,,,0.8965517241379288,0.5454545454545459,0.45454545454545414,0.45454545454545414,0.35714285714285765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-18 18:00:00+00:00,0.6578947368421053,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384,0,0,1,2,0.6619718309859159,,,0.913793103448274,0.45454545454545414,0.5454545454545459,0.45454545454545414,0.32142857142857295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-18 19:00:00+00:00,0.7105263157894735,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384,0,0,1,3,0.704225352112676,,,0.974137931034484,0.2727272727272725,0.45454545454545414,0.45454545454545414,0.19642857142857117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-18 20:00:00+00:00,0.6842105263157894,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,0,1,1,3,0.76056338028169,,,0.9896551724137943,0.3636363636363633,0.2727272727272725,0.5454545454545459,0.1642857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-18 21:00:00+00:00,0.6184210526315788,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,0,1,1,3,0.732394366197183,,,0.9568965517241388,0.45454545454545414,0.3636363636363633,0.45454545454545414,0.17857142857142883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-18 22:00:00+00:00,0.5657894736842106,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,0,1,1,3,0.6619718309859159,,,0.9039408866995089,0.5454545454545459,0.45454545454545414,0.2727272727272725,0.2142857142857153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-18 23:00:00+00:00,0.18421052631578938,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384,0,1,1,3,0.6056338028169019,,,0.676724137931032,0.8181818181818183,0.5454545454545459,0.3636363636363633,0.32142857142857295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 00:00:00+00:00,0.07894736842105221,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,1,2,0,0.19718309859154992,,,0.4540229885057485,0.8181818181818183,0.8181818181818183,0.45454545454545414,0.4642857142857153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 01:00:00+00:00,0.0,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384,0,1,2,0,0.08450704225352101,,,0.24482758620689538,0.8181818181818183,0.8181818181818183,0.5454545454545459,0.6785714285714288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 02:00:00+00:00,0.0,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384,0,1,2,0,0.0,,,0.07366771159874475,0.8181818181818183,0.8181818181818183,0.8181818181818183,0.8571428571428577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 03:00:00+00:00,0.21052631578947345,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384,0,1,2,0,0.0,,,0.0,0.5454545454545459,0.8181818181818183,0.8181818181818183,0.8928571428571441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 04:00:00+00:00,0.6184210526315788,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,0,1,2,0,0.22535211267605693,,,0.06100795755968136,0.2727272727272725,0.5454545454545459,0.8181818181818183,0.7857142857142865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 05:00:00+00:00,0.9342105263157894,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384,0,1,2,0,0.6619718309859159,,,0.2019704433497509,0.0,0.2727272727272725,0.8181818181818183,0.4642857142857153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 06:00:00+00:00,0.9078947368421053,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384,0,0,2,0,1.0,,,0.3172413793103459,0.09090909090909083,0.0,0.5454545454545459,0.17857142857142883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 07:00:00+00:00,0.6578947368421053,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384,0,0,2,1,0.971830985915493,,,0.356681034482758,0.45454545454545414,0.09090909090909083,0.2727272727272725,0.035714285714286476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 08:00:00+00:00,0.38157894736842124,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,0,0,2,1,0.704225352112676,,,0.3275862068965516,0.7272727272727275,0.45454545454545414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 09:00:00+00:00,0.14473684210526283,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,0,0,2,1,0.408450704225352,,,0.25,0.9090909090909092,0.7272727272727275,0.09090909090909083,0.14285714285714413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 10:00:00+00:00,0.05263157894736814,0.49999999999999994,-0.8660254037844387,-0.5000000000000004,0.8660254037844384,0,0,2,1,0.15492957746478897,,,0.16152450090743997,1.0,0.9090909090909092,0.45454545454545414,0.4285714285714288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 11:00:00+00:00,0.1578947368421053,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384,0,0,2,1,0.05633802816901401,,,0.10258620689655018,0.9090909090909092,1.0,0.7272727272727275,0.7857142857142865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 12:00:00+00:00,0.35526315789473717,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,0,0,2,1,0.16901408450704292,,,0.08620689655172242,0.6363636363636367,0.9090909090909092,0.9090909090909092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 13:00:00+00:00,0.5263157894736841,-0.2588190451025208,-0.9659258262890683,-0.5000000000000004,0.8660254037844384,0,0,2,2,0.380281690140845,,,0.1018808777429463,0.45454545454545414,0.6363636363636367,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 14:00:00+00:00,0.8026315789473681,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384,0,0,2,2,0.563380281690141,,,0.1634182908545725,0.18181818181818166,0.45454545454545414,0.9090909090909092,0.7857142857142865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19 15:00:00+00:00,1.0,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384,0,0,2,2,0.859154929577465,,,0.2521551724137936,0.09090909090909083,0.18181818181818166,0.6363636363636367,0.4642857142857153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
