datetime,carbon,hour_sin,hour_cos,is_weekend,is_night,day_of_week
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 17:00:00+00:00,0.9285714285714286,-0.9659258262890683,-0.25881904510252063,0,0,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
2025-11-18 18:00:00+00:00,0.773809523809524,-1.0,-1.8369701987210297e-16,0,1,1
