datetime,carbon,hour_sin,hour_cos,is_weekend,is_night,day_of_week
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 11:00:00+00:00,0.7659574468085104,0.258819045102521,-0.9659258262890682,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
2025-11-14 12:00:00+00:00,0.8156028368794326,1.2246467991473532e-16,-1.0,0,0,4
