datetime,zone,carbon,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod,hour,dayofweek
2025-09-14 07:00:00+00:00,JP-TK,563,2025-10-01T17:31:20.148Z,2025-09-13T01:56:30.308Z,lifecycle,True,MODE_BREAKDOWN,7,6
2025-09-14 08:00:00+00:00,JP-TK,591,2025-10-01T17:31:20.172Z,2025-09-13T01:55:58.449Z,lifecycle,True,MODE_BREAKDOWN,8,6
2025-09-14 09:00:00+00:00,JP-TK,597,2025-10-01T17:31:20.148Z,2025-09-13T01:56:13.723Z,lifecycle,True,MODE_BREAKDOWN,9,6
2025-09-14 10:00:00+00:00,JP-TK,597,2025-10-01T17:31:20.172Z,2025-09-13T01:56:13.723Z,lifecycle,True,MODE_BREAKDOWN,10,6
2025-09-14 11:00:00+00:00,JP-TK,596,2025-10-01T17:31:19.672Z,2025-09-13T01:55:58.449Z,lifecycle,True,MODE_BREAKDOWN,11,6
2025-09-14 12:00:00+00:00,JP-TK,595,2025-10-01T17:31:20.148Z,2025-09-13T01:55:58.449Z,lifecycle,True,MODE_BREAKDOWN,12,6
2025-09-14 13:00:00+00:00,JP-TK,595,2025-10-01T17:31:20.148Z,2025-09-13T01:56:13.723Z,lifecycle,True,MODE_BREAKDOWN,13,6
2025-09-14 14:00:00+00:00,JP-TK,595,2025-10-01T17:31:20.172Z,2025-09-13T01:56:13.723Z,lifecycle,True,MODE_BREAKDOWN,14,6
2025-09-14 15:00:00+00:00,JP-TK,592,2025-10-01T17:31:20.148Z,2025-09-13T01:56:13.723Z,lifecycle,True,MODE_BREAKDOWN,15,6
2025-09-14 16:00:00+00:00,JP-TK,591,2025-10-01T17:31:19.672Z,2025-09-13T01:56:30.308Z,lifecycle,True,MODE_BREAKDOWN,16,6
2025-09-14 17:00:00+00:00,JP-TK,591,2025-10-01T17:31:20.148Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,17,6
2025-09-14 18:00:00+00:00,JP-TK,591,2025-10-01T17:31:19.672Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,18,6
2025-09-14 19:00:00+00:00,JP-TK,590,2025-10-01T17:31:20.172Z,2025-09-14T01:55:17.507Z,lifecycle,True,MODE_BREAKDOWN,19,6
2025-09-14 20:00:00+00:00,JP-TK,590,2025-10-01T17:31:20.172Z,2025-09-14T01:55:44.146Z,lifecycle,True,MODE_BREAKDOWN,20,6
2025-09-14 21:00:00+00:00,JP-TK,569,2025-10-01T17:31:20.172Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,21,6
2025-09-14 22:00:00+00:00,JP-TK,525,2025-10-01T17:31:20.172Z,2025-09-14T01:55:17.507Z,lifecycle,True,MODE_BREAKDOWN,22,6
2025-09-14 23:00:00+00:00,JP-TK,488,2025-10-01T17:31:20.172Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,23,6
2025-09-15 00:00:00+00:00,JP-TK,464,2025-10-01T17:31:20.172Z,2025-09-14T01:55:17.507Z,lifecycle,True,MODE_BREAKDOWN,0,0
2025-09-15 01:00:00+00:00,JP-TK,436,2025-10-01T17:31:20.172Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,1,0
2025-09-15 02:00:00+00:00,JP-TK,436,2025-10-01T17:31:20.148Z,2025-09-14T01:55:17.507Z,lifecycle,True,MODE_BREAKDOWN,2,0
2025-09-15 03:00:00+00:00,JP-TK,439,2025-10-01T17:31:34.277Z,2025-09-14T01:55:17.507Z,lifecycle,True,MODE_BREAKDOWN,3,0
2025-09-15 04:00:00+00:00,JP-TK,456,2025-10-01T17:31:20.148Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,4,0
2025-09-15 05:00:00+00:00,JP-TK,486,2025-10-01T17:31:20.172Z,2025-09-14T01:55:44.146Z,lifecycle,True,MODE_BREAKDOWN,5,0
2025-09-15 06:00:00+00:00,JP-TK,519,2025-10-01T17:31:20.148Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,6,0
2025-09-15 07:00:00+00:00,JP-TK,565,2025-10-01T17:31:20.148Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,7,0
2025-09-15 08:00:00+00:00,JP-TK,594,2025-10-01T17:31:20.172Z,2025-09-14T01:55:17.507Z,lifecycle,True,MODE_BREAKDOWN,8,0
2025-09-15 09:00:00+00:00,JP-TK,598,2025-10-01T17:31:20.148Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,9,0
2025-09-15 10:00:00+00:00,JP-TK,597,2025-10-01T17:31:34.277Z,2025-09-14T01:55:47.341Z,lifecycle,True,MODE_BREAKDOWN,10,0
2025-09-15 11:00:00+00:00,JP-TK,597,2025-10-01T17:31:20.148Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,11,0
2025-09-15 12:00:00+00:00,JP-TK,596,2025-10-01T17:31:34.277Z,2025-09-14T01:55:47.341Z,lifecycle,True,MODE_BREAKDOWN,12,0
2025-09-15 13:00:00+00:00,JP-TK,596,2025-10-01T17:31:34.277Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,13,0
2025-09-15 14:00:00+00:00,JP-TK,594,2025-10-01T17:31:34.277Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,14,0
2025-09-15 15:00:00+00:00,JP-TK,594,2025-10-01T17:31:34.277Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,15,0
2025-09-15 16:00:00+00:00,JP-TK,593,2025-10-01T17:31:34.299Z,2025-09-14T01:55:17.507Z,lifecycle,True,MODE_BREAKDOWN,16,0
2025-09-15 17:00:00+00:00,JP-TK,593,2025-10-01T17:31:34.299Z,2025-09-15T01:42:49.767Z,lifecycle,True,MODE_BREAKDOWN,17,0
2025-09-15 18:00:00+00:00,JP-TK,593,2025-10-01T17:31:34.277Z,2025-09-15T01:42:42.001Z,lifecycle,True,MODE_BREAKDOWN,18,0
2025-09-15 19:00:00+00:00,JP-TK,594,2025-10-01T17:31:34.277Z,2025-09-15T01:42:42.001Z,lifecycle,True,MODE_BREAKDOWN,19,0
2025-09-15 20:00:00+00:00,JP-TK,592,2025-10-01T17:31:34.277Z,2025-09-15T01:42:26.863Z,lifecycle,True,MODE_BREAKDOWN,20,0
2025-09-15 21:00:00+00:00,JP-TK,566,2025-10-01T17:31:34.450Z,2025-09-15T01:42:42.001Z,lifecycle,True,MODE_BREAKDOWN,21,0
2025-09-15 22:00:00+00:00,JP-TK,511,2025-10-01T17:31:34.450Z,2025-09-15T01:42:26.863Z,lifecycle,True,MODE_BREAKDOWN,22,0
2025-09-15 23:00:00+00:00,JP-TK,469,2025-10-01T17:31:34.299Z,2025-09-15T01:42:49.767Z,lifecycle,True,MODE_BREAKDOWN,23,0
2025-09-16 00:00:00+00:00,JP-TK,450,2025-10-01T17:31:34.277Z,2025-09-15T01:42:42.001Z,lifecycle,True,MODE_BREAKDOWN,0,1
2025-09-16 01:00:00+00:00,JP-TK,429,2025-10-01T17:31:34.277Z,2025-09-15T01:42:42.001Z,lifecycle,True,MODE_BREAKDOWN,1,1
2025-09-16 02:00:00+00:00,JP-TK,429,2025-10-01T17:31:34.299Z,2025-09-15T01:42:26.863Z,lifecycle,True,MODE_BREAKDOWN,2,1
2025-09-16 03:00:00+00:00,JP-TK,430,2025-10-01T17:31:34.450Z,2025-09-15T01:42:26.863Z,lifecycle,True,MODE_BREAKDOWN,3,1
2025-09-16 04:00:00+00:00,JP-TK,451,2025-10-01T17:31:34.277Z,2025-09-15T01:42:42.001Z,lifecycle,True,MODE_BREAKDOWN,4,1
2025-09-16 05:00:00+00:00,JP-TK,479,2025-10-01T17:31:34.299Z,2025-09-15T01:42:49.767Z,lifecycle,True,MODE_BREAKDOWN,5,1
2025-09-16 06:00:00+00:00,JP-TK,518,2025-10-01T17:31:34.299Z,2025-09-15T01:42:49.767Z,lifecycle,True,MODE_BREAKDOWN,6,1
2025-09-16 07:00:00+00:00,JP-TK,565,2025-10-01T17:31:34.299Z,2025-09-15T01:42:26.863Z,lifecycle,True,MODE_BREAKDOWN,7,1
2025-09-16 08:00:00+00:00,JP-TK,595,2025-10-01T17:31:34.299Z,2025-09-15T01:42:42.001Z,lifecycle,True,MODE_BREAKDOWN,8,1
2025-09-16 09:00:00+00:00,JP-TK,599,2025-10-01T17:31:34.450Z,2025-09-15T01:42:52.228Z,lifecycle,True,MODE_BREAKDOWN,9,1
2025-09-16 10:00:00+00:00,JP-TK,597,2025-10-01T17:31:34.299Z,2025-09-15T01:42:26.863Z,lifecycle,True,MODE_BREAKDOWN,10,1
2025-09-16 11:00:00+00:00,JP-TK,596,2025-10-01T17:31:34.299Z,2025-09-15T01:42:26.863Z,lifecycle,True,MODE_BREAKDOWN,11,1
2025-09-16 12:00:00+00:00,JP-TK,596,2025-10-01T17:31:34.277Z,2025-09-15T01:42:52.228Z,lifecycle,True,MODE_BREAKDOWN,12,1
2025-09-16 13:00:00+00:00,JP-TK,595,2025-10-01T17:31:34.277Z,2025-09-15T01:42:52.228Z,lifecycle,True,MODE_BREAKDOWN,13,1
2025-09-16 14:00:00+00:00,JP-TK,594,2025-10-01T17:31:34.450Z,2025-09-15T01:42:26.863Z,lifecycle,True,MODE_BREAKDOWN,14,1
2025-09-16 15:00:00+00:00,JP-TK,594,2025-10-01T17:31:34.277Z,2025-09-15T01:42:26.863Z,lifecycle,True,MODE_BREAKDOWN,15,1
2025-09-16 16:00:00+00:00,JP-TK,593,2025-10-01T17:31:34.299Z,2025-09-15T01:42:42.001Z,lifecycle,True,MODE_BREAKDOWN,16,1
2025-09-16 17:00:00+00:00,JP-TK,592,2025-10-01T17:31:34.450Z,2025-09-16T01:55:58.000Z,lifecycle,True,MODE_BREAKDOWN,17,1
2025-09-16 18:00:00+00:00,JP-TK,591,2025-10-01T17:31:34.450Z,2025-09-16T01:55:47.517Z,lifecycle,True,MODE_BREAKDOWN,18,1
2025-09-16 19:00:00+00:00,JP-TK,591,2025-10-01T17:31:34.450Z,2025-09-16T01:55:47.517Z,lifecycle,True,MODE_BREAKDOWN,19,1
2025-09-16 20:00:00+00:00,JP-TK,589,2025-10-01T17:31:34.299Z,2025-09-16T01:55:47.517Z,lifecycle,True,MODE_BREAKDOWN,20,1
2025-09-16 21:00:00+00:00,JP-TK,563,2025-10-01T17:31:48.069Z,2025-09-16T01:55:47.517Z,lifecycle,True,MODE_BREAKDOWN,21,1
2025-09-16 22:00:00+00:00,JP-TK,515,2025-10-01T17:31:48.069Z,2025-09-16T01:55:47.517Z,lifecycle,True,MODE_BREAKDOWN,22,1
2025-09-16 23:00:00+00:00,JP-TK,476,2025-10-01T17:31:34.299Z,2025-09-16T01:55:47.517Z,lifecycle,True,MODE_BREAKDOWN,23,1
2025-09-17 00:00:00+00:00,JP-TK,452,2025-10-01T17:31:34.450Z,2025-09-16T01:55:58.000Z,lifecycle,True,MODE_BREAKDOWN,0,2
2025-09-17 01:00:00+00:00,JP-TK,434,2025-10-01T17:31:48.069Z,2025-09-16T01:55:28.959Z,lifecycle,True,MODE_BREAKDOWN,1,2
2025-09-17 02:00:00+00:00,JP-TK,427,2025-10-01T17:31:48.069Z,2025-09-16T01:55:47.517Z,lifecycle,True,MODE_BREAKDOWN,2,2
2025-09-17 03:00:00+00:00,JP-TK,431,2025-10-01T17:31:34.299Z,2025-09-16T01:55:28.959Z,lifecycle,True,MODE_BREAKDOWN,3,2
2025-09-17 04:00:00+00:00,JP-TK,455,2025-10-01T17:31:34.299Z,2025-09-16T01:55:47.517Z,lifecycle,True,MODE_BREAKDOWN,4,2
2025-09-17 05:00:00+00:00,JP-TK,487,2025-10-01T17:31:34.450Z,2025-09-16T01:55:28.959Z,lifecycle,True,MODE_BREAKDOWN,5,2
2025-09-17 06:00:00+00:00,JP-TK,525,2025-10-01T17:31:34.450Z,2025-09-16T01:55:58.000Z,lifecycle,True,MODE_BREAKDOWN,6,2
2025-09-17 07:00:00+00:00,JP-TK,566,2025-10-01T17:31:34.450Z,2025-09-16T01:55:28.959Z,lifecycle,True,MODE_BREAKDOWN,7,2
2025-09-17 08:00:00+00:00,JP-TK,594,2025-10-01T17:31:48.069Z,2025-09-16T01:55:47.517Z,lifecycle,True,MODE_BREAKDOWN,8,2
2025-09-17 09:00:00+00:00,JP-TK,596,2025-10-01T17:31:48.041Z,2025-09-16T01:55:47.517Z,lifecycle,True,MODE_BREAKDOWN,9,2
2025-09-17 10:00:00+00:00,JP-TK,596,2025-10-01T17:31:48.041Z,2025-09-16T01:56:01.563Z,lifecycle,True,MODE_BREAKDOWN,10,2
2025-09-17 11:00:00+00:00,JP-TK,595,2025-10-01T17:31:48.069Z,2025-09-16T01:56:01.563Z,lifecycle,True,MODE_BREAKDOWN,11,2
2025-09-17 12:00:00+00:00,JP-TK,595,2025-10-01T17:31:48.058Z,2025-09-16T01:56:01.563Z,lifecycle,True,MODE_BREAKDOWN,12,2
2025-09-17 13:00:00+00:00,JP-TK,594,2025-10-01T17:31:48.069Z,2025-09-16T01:55:47.517Z,lifecycle,True,MODE_BREAKDOWN,13,2
2025-09-17 14:00:00+00:00,JP-TK,594,2025-10-01T17:31:48.069Z,2025-09-16T01:56:01.563Z,lifecycle,True,MODE_BREAKDOWN,14,2
2025-09-17 15:00:00+00:00,JP-TK,592,2025-10-01T17:31:48.069Z,2025-09-16T01:56:01.563Z,lifecycle,True,MODE_BREAKDOWN,15,2
2025-09-17 16:00:00+00:00,JP-TK,591,2025-10-01T17:31:48.069Z,2025-09-16T01:56:01.563Z,lifecycle,True,MODE_BREAKDOWN,16,2
2025-09-17 17:00:00+00:00,JP-TK,591,2025-10-01T17:31:48.058Z,2025-09-17T01:40:22.028Z,lifecycle,True,MODE_BREAKDOWN,17,2
2025-09-17 18:00:00+00:00,JP-TK,590,2025-10-01T17:31:48.069Z,2025-09-17T01:40:45.236Z,lifecycle,True,MODE_BREAKDOWN,18,2
2025-09-17 19:00:00+00:00,JP-TK,590,2025-10-01T17:31:48.041Z,2025-09-17T01:40:55.026Z,lifecycle,True,MODE_BREAKDOWN,19,2
2025-09-17 20:00:00+00:00,JP-TK,588,2025-10-01T17:31:48.058Z,2025-09-17T01:40:22.028Z,lifecycle,True,MODE_BREAKDOWN,20,2
2025-09-17 21:00:00+00:00,JP-TK,564,2025-10-01T17:31:48.058Z,2025-09-17T01:40:22.028Z,lifecycle,True,MODE_BREAKDOWN,21,2
2025-09-17 22:00:00+00:00,JP-TK,518,2025-10-01T17:31:48.058Z,2025-09-17T01:40:45.236Z,lifecycle,True,MODE_BREAKDOWN,22,2
2025-09-17 23:00:00+00:00,JP-TK,487,2025-10-01T17:31:48.058Z,2025-09-17T01:40:22.028Z,lifecycle,True,MODE_BREAKDOWN,23,2
2025-09-18 00:00:00+00:00,JP-TK,476,2025-10-01T17:31:48.069Z,2025-09-17T01:40:55.026Z,lifecycle,True,MODE_BREAKDOWN,0,3
2025-09-18 01:00:00+00:00,JP-TK,469,2025-10-01T17:31:48.058Z,2025-09-17T01:40:55.026Z,lifecycle,True,MODE_BREAKDOWN,1,3
2025-09-18 02:00:00+00:00,JP-TK,476,2025-10-01T17:31:48.058Z,2025-09-17T01:40:45.236Z,lifecycle,True,MODE_BREAKDOWN,2,3
2025-09-18 03:00:00+00:00,JP-TK,484,2025-10-01T17:31:48.058Z,2025-09-17T01:40:45.236Z,lifecycle,True,MODE_BREAKDOWN,3,3
2025-09-18 04:00:00+00:00,JP-TK,511,2025-10-01T17:31:48.058Z,2025-09-17T01:40:22.028Z,lifecycle,True,MODE_BREAKDOWN,4,3
2025-09-18 05:00:00+00:00,JP-TK,539,2025-10-01T17:31:48.058Z,2025-09-17T01:40:22.028Z,lifecycle,True,MODE_BREAKDOWN,5,3
2025-09-18 06:00:00+00:00,JP-TK,565,2025-10-01T17:31:48.041Z,2025-09-17T01:40:22.028Z,lifecycle,True,MODE_BREAKDOWN,6,3
2025-09-18 07:00:00+00:00,JP-TK,578,2025-10-01T17:31:48.069Z,2025-09-17T01:40:22.028Z,lifecycle,True,MODE_BREAKDOWN,7,3
