datetime,zone,carbon,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod,hour,dayofweek
2025-09-14 10:00:00+00:00,US-MIDW-MISO,522,2025-10-01T17:31:19.672Z,2025-09-11T10:10:52.727Z,lifecycle,False,,10,6
2025-09-14 11:00:00+00:00,US-MIDW-MISO,536,2025-10-01T17:31:20.148Z,2025-09-11T11:10:29.554Z,lifecycle,False,,11,6
2025-09-14 12:00:00+00:00,US-MIDW-MISO,528,2025-10-01T17:31:20.148Z,2025-09-11T12:11:00.113Z,lifecycle,False,,12,6
2025-09-14 13:00:00+00:00,US-MIDW-MISO,478,2025-10-01T17:31:19.672Z,2025-09-11T13:12:06.480Z,lifecycle,False,,13,6
2025-09-14 14:00:00+00:00,US-MIDW-MISO,469,2025-10-01T17:31:19.672Z,2025-09-11T14:12:23.370Z,lifecycle,False,,14,6
2025-09-14 15:00:00+00:00,US-MIDW-MISO,487,2025-10-01T17:31:19.672Z,2025-09-11T15:09:58.027Z,lifecycle,False,,15,6
2025-09-14 16:00:00+00:00,US-MIDW-MISO,499,2025-10-01T17:31:20.148Z,2025-09-11T16:11:08.759Z,lifecycle,False,,16,6
2025-09-14 17:00:00+00:00,US-MIDW-MISO,503,2025-10-01T17:31:20.148Z,2025-09-11T17:11:49.794Z,lifecycle,False,,17,6
2025-09-14 18:00:00+00:00,US-MIDW-MISO,494,2025-10-01T17:31:19.672Z,2025-09-11T18:09:49.548Z,lifecycle,False,,18,6
2025-09-14 19:00:00+00:00,US-MIDW-MISO,497,2025-10-01T17:31:20.172Z,2025-09-11T19:11:05.253Z,lifecycle,False,,19,6
2025-09-14 20:00:00+00:00,US-MIDW-MISO,495,2025-10-01T17:31:20.172Z,2025-09-11T20:13:21.170Z,lifecycle,False,,20,6
2025-09-14 21:00:00+00:00,US-MIDW-MISO,499,2025-10-01T17:31:20.172Z,2025-09-11T21:11:56.428Z,lifecycle,False,,21,6
2025-09-14 22:00:00+00:00,US-MIDW-MISO,517,2025-10-05T00:13:41.692Z,2025-09-11T22:11:01.518Z,lifecycle,False,,22,6
2025-09-14 23:00:00+00:00,US-MIDW-MISO,552,2025-10-05T00:13:42.065Z,2025-09-11T23:10:50.928Z,lifecycle,False,,23,6
2025-09-15 00:00:00+00:00,US-MIDW-MISO,562,2025-10-01T17:31:20.172Z,2025-09-12T00:11:32.330Z,lifecycle,False,,0,0
2025-09-15 01:00:00+00:00,US-MIDW-MISO,556,2025-10-01T17:31:20.148Z,2025-09-12T01:11:06.028Z,lifecycle,False,,1,0
2025-09-15 02:00:00+00:00,US-MIDW-MISO,542,2025-10-01T17:31:34.277Z,2025-09-12T02:10:19.055Z,lifecycle,False,,2,0
2025-09-15 03:00:00+00:00,US-MIDW-MISO,517,2025-10-01T17:31:20.172Z,2025-09-12T03:10:16.133Z,lifecycle,False,,3,0
2025-09-15 04:00:00+00:00,US-MIDW-MISO,497,2025-10-01T17:31:20.172Z,2025-09-12T04:10:22.698Z,lifecycle,False,,4,0
2025-09-15 05:00:00+00:00,US-MIDW-MISO,483,2025-10-01T17:31:20.148Z,2025-09-12T05:11:51.362Z,lifecycle,False,,5,0
2025-09-15 06:00:00+00:00,US-MIDW-MISO,469,2025-10-01T17:31:20.148Z,2025-09-12T06:11:05.926Z,lifecycle,False,,6,0
2025-09-15 07:00:00+00:00,US-MIDW-MISO,465,2025-10-01T17:31:20.172Z,2025-09-12T07:11:11.818Z,lifecycle,False,,7,0
2025-09-15 08:00:00+00:00,US-MIDW-MISO,474,2025-10-01T17:31:34.277Z,2025-09-12T08:11:25.836Z,lifecycle,False,,8,0
2025-09-15 09:00:00+00:00,US-MIDW-MISO,484,2025-10-01T17:31:20.148Z,2025-09-12T09:11:01.293Z,lifecycle,False,,9,0
2025-09-15 10:00:00+00:00,US-MIDW-MISO,504,2025-10-01T17:31:20.172Z,2025-09-12T10:13:01.160Z,lifecycle,False,,10,0
2025-09-15 11:00:00+00:00,US-MIDW-MISO,529,2025-10-01T17:31:20.172Z,2025-09-12T11:10:31.237Z,lifecycle,False,,11,0
2025-09-15 12:00:00+00:00,US-MIDW-MISO,522,2025-10-01T17:31:20.172Z,2025-09-12T12:11:30.081Z,lifecycle,False,,12,0
2025-09-15 13:00:00+00:00,US-MIDW-MISO,488,2025-10-01T17:31:20.148Z,2025-09-12T13:11:13.775Z,lifecycle,False,,13,0
2025-09-15 14:00:00+00:00,US-MIDW-MISO,485,2025-10-01T17:31:34.299Z,2025-09-12T14:19:50.085Z,lifecycle,False,,14,0
2025-09-15 15:00:00+00:00,US-MIDW-MISO,491,2025-10-01T17:31:34.299Z,2025-09-12T15:13:13.830Z,lifecycle,False,,15,0
2025-09-15 16:00:00+00:00,US-MIDW-MISO,507,2025-10-01T17:31:34.299Z,2025-09-12T16:11:06.766Z,lifecycle,False,,16,0
2025-09-15 17:00:00+00:00,US-MIDW-MISO,512,2025-10-01T17:31:34.299Z,2025-09-12T17:11:43.486Z,lifecycle,False,,17,0
2025-09-15 18:00:00+00:00,US-MIDW-MISO,499,2025-10-01T17:31:34.450Z,2025-09-12T18:10:44.375Z,lifecycle,False,,18,0
2025-09-15 19:00:00+00:00,US-MIDW-MISO,496,2025-10-01T17:31:34.450Z,2025-09-12T19:10:09.901Z,lifecycle,False,,19,0
2025-09-15 20:00:00+00:00,US-MIDW-MISO,497,2025-10-01T17:31:34.299Z,2025-09-12T20:12:49.783Z,lifecycle,False,,20,0
2025-09-15 21:00:00+00:00,US-MIDW-MISO,504,2025-10-01T17:31:34.299Z,2025-09-12T21:10:23.336Z,lifecycle,False,,21,0
2025-09-15 22:00:00+00:00,US-MIDW-MISO,524,2025-10-05T00:13:47.404Z,2025-09-12T22:10:27.288Z,lifecycle,False,,22,0
2025-09-15 23:00:00+00:00,US-MIDW-MISO,561,2025-10-05T00:13:59.768Z,2025-09-12T23:11:26.811Z,lifecycle,False,,23,0
2025-09-16 00:00:00+00:00,US-MIDW-MISO,571,2025-10-01T17:31:34.277Z,2025-09-13T00:10:46.067Z,lifecycle,False,,0,1
2025-09-16 01:00:00+00:00,US-MIDW-MISO,561,2025-10-01T17:31:34.450Z,2025-09-13T01:10:54.438Z,lifecycle,False,,1,1
2025-09-16 02:00:00+00:00,US-MIDW-MISO,546,2025-10-01T17:31:34.299Z,2025-09-13T02:12:37.805Z,lifecycle,False,,2,1
2025-09-16 03:00:00+00:00,US-MIDW-MISO,527,2025-10-01T17:31:34.450Z,2025-09-13T03:10:57.366Z,lifecycle,False,,3,1
2025-09-16 04:00:00+00:00,US-MIDW-MISO,504,2025-10-01T17:31:34.299Z,2025-09-13T04:10:55.914Z,lifecycle,False,,4,1
2025-09-16 05:00:00+00:00,US-MIDW-MISO,476,2025-10-01T17:31:34.277Z,2025-09-13T05:11:52.752Z,lifecycle,False,,5,1
2025-09-16 06:00:00+00:00,US-MIDW-MISO,464,2025-10-01T17:31:34.450Z,2025-09-13T06:10:40.438Z,lifecycle,False,,6,1
2025-09-16 07:00:00+00:00,US-MIDW-MISO,460,2025-10-01T17:31:34.277Z,2025-09-13T07:11:17.570Z,lifecycle,False,,7,1
2025-09-16 08:00:00+00:00,US-MIDW-MISO,473,2025-10-01T17:31:34.277Z,2025-09-13T08:10:49.642Z,lifecycle,False,,8,1
2025-09-16 09:00:00+00:00,US-MIDW-MISO,499,2025-10-01T17:31:34.277Z,2025-09-13T09:11:08.532Z,lifecycle,False,,9,1
2025-09-16 10:00:00+00:00,US-MIDW-MISO,524,2025-10-01T17:31:34.299Z,2025-09-13T10:11:10.983Z,lifecycle,False,,10,1
2025-09-16 11:00:00+00:00,US-MIDW-MISO,554,2025-10-01T17:31:34.277Z,2025-09-13T11:10:38.368Z,lifecycle,False,,11,1
2025-09-16 12:00:00+00:00,US-MIDW-MISO,549,2025-10-01T17:31:34.450Z,2025-09-13T12:10:47.107Z,lifecycle,False,,12,1
2025-09-16 13:00:00+00:00,US-MIDW-MISO,504,2025-10-01T17:31:34.299Z,2025-09-13T13:16:44.933Z,lifecycle,False,,13,1
2025-09-16 14:00:00+00:00,US-MIDW-MISO,502,2025-10-01T17:31:34.277Z,2025-09-13T14:11:36.813Z,lifecycle,False,,14,1
2025-09-16 15:00:00+00:00,US-MIDW-MISO,523,2025-10-01T17:31:34.299Z,2025-09-13T15:12:42.811Z,lifecycle,False,,15,1
