datetime,carbon_norm,hour_sin,hour_cos,day_of_week,is_weekend,renewable_pct_norm,renewable_lag_1_norm,wind_norm,solar_norm,coal_norm,gas_norm,fossil_pct_norm,carbon_lag_1_norm,carbon_lag_24_norm
2024-11-20 17:00:00+00:00,0.3231939163498099,-0.9659258262890683,-0.25881904510252063,2,0,0.41666666666666663,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.3231939163498099,0.3231939163498099
2024-11-20 18:00:00+00:00,0.3231939163498099,-1.0,-1.8369701987210297e-16,2,0,0.41666666666666663,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.3231939163498099,0.3231939163498099
2024-11-20 19:00:00+00:00,0.3079847908745248,-0.9659258262890684,0.2588190451025203,2,0,0.41666666666666663,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.3231939163498099,0.3231939163498099
2024-11-20 20:00:00+00:00,0.28136882129277563,-0.8660254037844386,0.5000000000000001,2,0,0.5,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.3079847908745248,0.3231939163498099
2024-11-20 21:00:00+00:00,0.29657794676806093,-0.7071067811865477,0.7071067811865474,2,0,0.4583333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.28136882129277563,0.3231939163498099
2024-11-20 22:00:00+00:00,0.2927756653992395,-0.5000000000000004,0.8660254037844384,2,0,0.5,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.29657794676806093,0.3231939163498099
2024-11-20 23:00:00+00:00,0.3079847908745248,-0.25881904510252157,0.9659258262890681,2,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.2927756653992395,0.3231939163498099
2024-11-21 00:00:00+00:00,0.30418250950570336,0.0,1.0,3,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.3079847908745248,0.3231939163498099
2024-11-21 01:00:00+00:00,0.3231939163498099,0.25881904510252074,0.9659258262890683,3,0,0.4583333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.30418250950570336,0.3231939163498099
2024-11-21 02:00:00+00:00,0.3269961977186313,0.49999999999999994,0.8660254037844387,3,0,0.41666666666666663,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.3231939163498099,0.3231939163498099
2024-11-21 03:00:00+00:00,0.3269961977186313,0.7071067811865476,0.7071067811865476,3,0,0.375,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.3269961977186313,0.3231939163498099
2024-11-21 04:00:00+00:00,0.2889733840304183,0.8660254037844386,0.5000000000000001,3,0,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.3269961977186313,0.3231939163498099
2024-11-21 05:00:00+00:00,0.26235741444866933,0.9659258262890683,0.25881904510252074,3,0,0.41666666666666663,0.375,0.0,0.0,0.0,0.0,0.0,0.2889733840304183,0.3231939163498099
2024-11-21 06:00:00+00:00,0.26996197718631176,1.0,6.123233995736766e-17,3,0,0.375,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.26235741444866933,0.3231939163498099
2024-11-21 07:00:00+00:00,0.2585551330798479,0.9659258262890683,-0.25881904510252063,3,0,0.3333333333333333,0.375,0.0,0.0,0.0,0.0,0.0,0.26996197718631176,0.3231939163498099
2024-11-21 08:00:00+00:00,0.2775665399239544,0.8660254037844387,-0.4999999999999998,3,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.2585551330798479,0.3231939163498099
2024-11-21 09:00:00+00:00,0.30038022813688214,0.7071067811865476,-0.7071067811865475,3,0,0.29166666666666663,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.2775665399239544,0.3231939163498099
2024-11-21 10:00:00+00:00,0.31939163498098866,0.49999999999999994,-0.8660254037844387,3,0,0.3333333333333333,0.29166666666666663,0.0,0.0,0.0,0.0,0.0,0.30038022813688214,0.3231939163498099
2024-11-21 11:00:00+00:00,0.33460076045627374,0.258819045102521,-0.9659258262890682,3,0,0.375,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.31939163498098866,0.3231939163498099
2024-11-21 12:00:00+00:00,0.35361216730038025,1.2246467991473532e-16,-1.0,3,0,0.41666666666666663,0.375,0.0,0.0,0.0,0.0,0.0,0.33460076045627374,0.3231939163498099
2024-11-21 13:00:00+00:00,0.3269961977186313,-0.2588190451025208,-0.9659258262890683,3,0,0.5,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.35361216730038025,0.3231939163498099
