datetime,carbon_norm,hour_sin,hour_cos,day_of_week,is_weekend,renewable_pct_norm,renewable_lag_1_norm,wind_norm,solar_norm,coal_norm,gas_norm,fossil_pct_norm,carbon_lag_1_norm,carbon_lag_24_norm
2024-11-20 17:00:00+00:00,0.5361010830324909,-0.9659258262890683,-0.25881904510252063,2,0,0.463768115942029,0.463768115942029,0.0,0.0,0.0,0.0,0.0,0.5361010830324909,0.5361010830324909
2024-11-20 18:00:00+00:00,0.5379061371841155,-1.0,-1.8369701987210297e-16,2,0,0.44927536231884063,0.463768115942029,0.0,0.0,0.0,0.0,0.0,0.5361010830324909,0.5361010830324909
2024-11-20 19:00:00+00:00,0.5649819494584838,-0.9659258262890684,0.2588190451025203,2,0,0.43478260869565216,0.44927536231884063,0.0,0.0,0.0,0.0,0.0,0.5379061371841155,0.5361010830324909
2024-11-20 20:00:00+00:00,0.575812274368231,-0.8660254037844386,0.5000000000000001,2,0,0.43478260869565216,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.5649819494584838,0.5361010830324909
2024-11-20 21:00:00+00:00,0.5848375451263538,-0.7071067811865477,0.7071067811865474,2,0,0.44927536231884063,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.575812274368231,0.5361010830324909
2024-11-20 22:00:00+00:00,0.5866425992779783,-0.5000000000000004,0.8660254037844384,2,0,0.463768115942029,0.44927536231884063,0.0,0.0,0.0,0.0,0.0,0.5848375451263538,0.5361010830324909
2024-11-20 23:00:00+00:00,0.5812274368231046,-0.25881904510252157,0.9659258262890681,2,0,0.463768115942029,0.463768115942029,0.0,0.0,0.0,0.0,0.0,0.5866425992779783,0.5361010830324909
2024-11-21 00:00:00+00:00,0.5541516245487365,0.0,1.0,3,0,0.4927536231884058,0.463768115942029,0.0,0.0,0.0,0.0,0.0,0.5812274368231046,0.5361010830324909
2024-11-21 01:00:00+00:00,0.5288808664259927,0.25881904510252074,0.9659258262890683,3,0,0.5072463768115942,0.4927536231884058,0.0,0.0,0.0,0.0,0.0,0.5541516245487365,0.5361010830324909
2024-11-21 02:00:00+00:00,0.5108303249097472,0.49999999999999994,0.8660254037844387,3,0,0.5072463768115942,0.5072463768115942,0.0,0.0,0.0,0.0,0.0,0.5288808664259927,0.5361010830324909
