datetime,carbon_norm,hour_sin,hour_cos,day_of_week,is_weekend,renewable_pct_norm,renewable_lag_1_norm,wind_norm,solar_norm,coal_norm,gas_norm,fossil_pct_norm,carbon_lag_1_norm,carbon_lag_24_norm
2024-11-20 17:00:00+00:00,0.8348968105065667,-0.9659258262890683,-0.25881904510252063,2,0,0.1710526315789474,0.1710526315789474,0.0,0.0,0.0,0.0,0.0,0.8348968105065667,0.8348968105065667
2024-11-20 18:00:00+00:00,0.7823639774859287,-1.0,-1.8369701987210297e-16,2,0,0.22368421052631576,0.1710526315789474,0.0,0.0,0.0,0.0,0.0,0.8348968105065667,0.8348968105065667
2024-11-20 19:00:00+00:00,0.7335834896810507,-0.9659258262890684,0.2588190451025203,2,0,0.27631578947368424,0.22368421052631576,0.0,0.0,0.0,0.0,0.0,0.7823639774859287,0.8348968105065667
2024-11-20 20:00:00+00:00,0.6810506566604128,-0.8660254037844386,0.5000000000000001,2,0,0.3289473684210526,0.27631578947368424,0.0,0.0,0.0,0.0,0.0,0.7335834896810507,0.8348968105065667
2024-11-20 21:00:00+00:00,0.6585365853658537,-0.7071067811865477,0.7071067811865474,2,0,0.35526315789473684,0.3289473684210526,0.0,0.0,0.0,0.0,0.0,0.6810506566604128,0.8348968105065667
2024-11-20 22:00:00+00:00,0.5403377110694184,-0.5000000000000004,0.8660254037844384,2,0,0.4473684210526316,0.35526315789473684,0.0,0.0,0.0,0.0,0.0,0.6585365853658537,0.8348968105065667
2024-11-20 23:00:00+00:00,0.4240150093808631,-0.25881904510252157,0.9659258262890681,2,0,0.5789473684210525,0.4473684210526316,0.0,0.0,0.0,0.0,0.0,0.5403377110694184,0.8348968105065667
2024-11-21 00:00:00+00:00,0.40712945590994376,0.0,1.0,3,0,0.6052631578947367,0.5789473684210525,0.0,0.0,0.0,0.0,0.0,0.4240150093808631,0.8348968105065667
2024-11-21 01:00:00+00:00,0.4033771106941839,0.25881904510252074,0.9659258262890683,3,0,0.6184210526315789,0.6052631578947367,0.0,0.0,0.0,0.0,0.0,0.40712945590994376,0.8348968105065667
2024-11-21 02:00:00+00:00,0.3921200750469044,0.49999999999999994,0.8660254037844387,3,0,0.6184210526315789,0.6184210526315789,0.0,0.0,0.0,0.0,0.0,0.4033771106941839,0.8348968105065667
2024-11-21 03:00:00+00:00,0.377110694183865,0.7071067811865476,0.7071067811865476,3,0,0.6184210526315789,0.6184210526315789,0.0,0.0,0.0,0.0,0.0,0.3921200750469044,0.8348968105065667
2024-11-21 04:00:00+00:00,0.3489681050656661,0.8660254037844386,0.5000000000000001,3,0,0.644736842105263,0.6184210526315789,0.0,0.0,0.0,0.0,0.0,0.377110694183865,0.8348968105065667
2024-11-21 05:00:00+00:00,0.4915572232645403,0.9659258262890683,0.25881904510252074,3,0,0.5263157894736842,0.644736842105263,0.0,0.0,0.0,0.0,0.0,0.3489681050656661,0.8348968105065667
2024-11-21 06:00:00+00:00,0.5422138836772984,1.0,6.123233995736766e-17,3,0,0.47368421052631576,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.4915572232645403,0.8348968105065667
2024-11-21 07:00:00+00:00,0.5272045028142589,0.9659258262890683,-0.25881904510252063,3,0,0.49999999999999994,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.5422138836772984,0.8348968105065667
2024-11-21 08:00:00+00:00,0.5065666041275798,0.8660254037844387,-0.4999999999999998,3,0,0.49999999999999994,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.5272045028142589,0.8348968105065667
2024-11-21 09:00:00+00:00,0.49718574108818014,0.7071067811865476,-0.7071067811865475,3,0,0.4868421052631579,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.5065666041275798,0.8348968105065667
2024-11-21 10:00:00+00:00,0.5628517823639775,0.49999999999999994,-0.8660254037844387,3,0,0.4210526315789474,0.4868421052631579,0.0,0.0,0.0,0.0,0.0,0.49718574108818014,0.8348968105065667
2024-11-21 11:00:00+00:00,0.6360225140712946,0.258819045102521,-0.9659258262890682,3,0,0.35526315789473684,0.4210526315789474,0.0,0.0,0.0,0.0,0.0,0.5628517823639775,0.8348968105065667
2024-11-21 12:00:00+00:00,0.7054409005628518,1.2246467991473532e-16,-1.0,3,0,0.2894736842105263,0.35526315789473684,0.0,0.0,0.0,0.0,0.0,0.6360225140712946,0.8348968105065667
2024-11-21 13:00:00+00:00,0.7166979362101313,-0.2588190451025208,-0.9659258262890683,3,0,0.27631578947368424,0.2894736842105263,0.0,0.0,0.0,0.0,0.0,0.7054409005628518,0.8348968105065667
