zone,test_samples,mae_gco2_kwh,rmse_gco2_kwh,mape_percent,carbon_min,carbon_max,carbon_mean
DE,1738,61.32113256864178,77.76065881406203,25.700478171434515,97.0,601.0,324.02920023014957
US-MIDA-PJM,1738,17.090693081298642,21.52611475019054,4.313863053826203,311.0,476.0,397.3878979670119
US-NW-PACW,1718,37.52927099256771,48.10687885846604,12.887852771037853,150.0,445.00000000000006,282.99430054326734
IE,1738,67.12696230214905,83.40062915576969,28.917198920140162,130.99999999999994,503.0,290.67594457230535
SG,1738,7.951894171904643,10.730186038811869,1.695516336033664,423.0,500.0,482.0704353663214
BE,1738,34.165590443188634,43.530777025508996,22.04190716288275,64.99999999999999,375.99999999999994,172.82719601074032
US-MIDW-MISO,1738,39.43622872396863,50.26777923933284,9.16811905678851,31.0,619.9999999999999,490.2756760644419
JP-TK,1738,25.79953497069797,38.35690581592291,5.473790289698706,273.99999999999994,598.9999999999999,542.7658707326428
