zone,rows,seq,features,ensemble_mae,robust_mape
DE,8761,8690,35,0.11068796607281686,105.47129144006797
US-MIDA-PJM,8761,8690,35,0.06498362184589165,15.315622149585057
US-NW-PACW,8660,8589,35,0.09086990991990336,14.619801543059197
IE,8761,8690,35,0.12594177087883449,83.45233926422951
SG,8761,8690,35,0.09939867578572624,26.626763978934637
BE,8761,8690,35,0.10880761474125492,50.59580626958565
US-MIDW-MISO,8761,8690,35,0.06684106704828469,8.88778224004199
JP-TK,8761,8690,35,0.05745999645450823,8.393878615677968
