datetime,carbon_norm,hour_sin,hour_cos,day_of_week,is_weekend,renewable_pct_norm,renewable_lag_1_norm,renewable_lag_24_norm,wind_norm,wind_lag_1_norm,wind_lag_6_norm,wind_lag_12_norm,wind_lag_24_norm,solar_norm,solar_lag_1_norm,solar_lag_12_norm,solar_lag_24_norm,coal_norm,gas_norm,fossil_pct_norm,carbon_lag_1_norm,carbon_lag_6_norm,carbon_lag_12_norm,carbon_lag_24_norm,carbon_lag_48_norm,carbon_rolling_mean_6_norm,carbon_rolling_mean_24_norm,carbon_rolling_std_24_norm,wind_rolling_mean_12_norm,wind_rolling_std_12_norm,renewable_rolling_mean_12_norm,carbon_diff_1_norm,carbon_diff_24_norm,wind_diff_1_norm,carbon_trend_up_24
2024-11-20 17:00:00+00:00,0.8348968105065667,-0.9659258262890683,-0.25881904510252063,2,0,0.1710526315789474,0.1710526315789474,0.1710526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.8559896674200838,0.8815325010761946,0.0,0.0,0.0,0.13793103448275862,0.49027237354085607,0.525748502994012,0.0,0
2024-11-20 18:00:00+00:00,0.7823639774859287,-1.0,-1.8369701987210297e-16,2,0,0.22368421052631576,0.1710526315789474,0.1710526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.8288666451404583,0.85260439087387,0.10223449408171083,0.0,0.0,0.16551724137931034,0.3813229571984436,0.525748502994012,0.0,0
2024-11-20 19:00:00+00:00,0.7335834896810507,-0.9659258262890684,0.2588190451025203,2,0,0.27631578947368424,0.22368421052631576,0.1710526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7823639774859287,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.8030351953503387,0.8250538097287988,0.1394496569211871,0.0,0.0,0.19310344827586207,0.3891050583657588,0.525748502994012,0.0,0
2024-11-20 20:00:00+00:00,0.6810506566604128,-0.8660254037844386,0.5000000000000001,2,0,0.3289473684210526,0.27631578947368424,0.1710526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7335834896810507,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.7765579593154663,0.7968144640551013,0.18134043506594666,0.0,0.0,0.2206896551724138,0.3813229571984436,0.525748502994012,0.0,0
2024-11-20 21:00:00+00:00,0.6585365853658537,-0.7071067811865477,0.7071067811865474,2,0,0.35526315789473684,0.3289473684210526,0.1710526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6810506566604128,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.7560219567323214,0.7749117520447696,0.19910432540426284,0.0,0.0,0.2427586206896552,0.443579766536965,0.525748502994012,0.0,0
2024-11-20 22:00:00+00:00,0.5403377110694184,-0.5000000000000004,0.8660254037844384,2,0,0.4473684210526316,0.35526315789473684,0.1710526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6585365853658537,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.721989021633839,0.7386138613861385,0.2847477155264084,0.0,0.0,0.27356321839080455,0.24513618677042803,0.525748502994012,0.0,0
2024-11-20 23:00:00+00:00,0.4240150093808631,-0.25881904510252157,0.9659258262890681,2,0,0.5789473684210525,0.4473684210526316,0.1710526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5403377110694184,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.651275427833387,0.6943853391550335,0.3912541874477529,0.0,0.0,0.3152709359605911,0.24902723735408563,0.525748502994012,0.0,0
2024-11-21 00:00:00+00:00,0.40712945590994376,0.0,1.0,3,0,0.6052631578947367,0.5789473684210525,0.1710526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4240150093808631,0.7823639774859287,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.5866968033580884,0.6588893671975893,0.4406336155021231,0.0,0.0,0.35,0.4552529182879378,0.525748502994012,0.0,0
2024-11-21 01:00:00+00:00,0.4033771106941839,0.25881904510252074,0.9659258262890683,3,0,0.6184210526315789,0.6052631578947367,0.1710526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40712945590994376,0.7335834896810507,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.5298676138198256,0.6308222126560482,0.4627783435763901,0.0,0.0,0.3785440613026819,0.4824902723735409,0.525748502994012,0.0,0
2024-11-21 02:00:00+00:00,0.3921200750469044,0.49999999999999994,0.8660254037844387,3,0,0.6184210526315789,0.6184210526315789,0.1710526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4033771106941839,0.6810506566604128,0.8348968105065667,0.8348968105065667,0.8348968105065667,0.4801420729738456,0.6071287128712871,0.4747899549249191,0.0,0.0,0.40137931034482766,0.4669260700389105,0.525748502994012,0.0,0
