datetime,carbon_norm,hour_sin,hour_cos,day_of_week,is_weekend,renewable_pct_norm,renewable_lag_1_norm,renewable_lag_24_norm,wind_norm,wind_lag_1_norm,wind_lag_6_norm,wind_lag_12_norm,wind_lag_24_norm,solar_norm,solar_lag_1_norm,solar_lag_12_norm,solar_lag_24_norm,coal_norm,gas_norm,fossil_pct_norm,carbon_lag_1_norm,carbon_lag_6_norm,carbon_lag_12_norm,carbon_lag_24_norm,carbon_lag_48_norm,carbon_rolling_mean_6_norm,carbon_rolling_mean_24_norm,carbon_rolling_std_24_norm,wind_rolling_mean_12_norm,wind_rolling_std_12_norm,renewable_rolling_mean_12_norm,carbon_diff_1_norm,carbon_diff_24_norm,wind_diff_1_norm,carbon_trend_up_24
2024-11-20 17:00:00+00:00,0.3231939163498099,-0.9659258262890683,-0.25881904510252063,2,0,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.3184754521963824,0.18915046059365404,0.0,0.0,0.0,0.4238683127572016,0.4594594594594595,0.4545454545454546,0.0,0
2024-11-20 18:00:00+00:00,0.3231939163498099,-1.0,-1.8369701987210297e-16,2,0,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.3184754521963824,0.18915046059365404,0.0,0.0,0.0,0.4238683127572016,0.4594594594594595,0.4545454545454546,0.0,0
2024-11-20 19:00:00+00:00,0.3079847908745248,-0.9659258262890684,0.2588190451025203,2,0,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.3133074935400517,0.18259979529170933,0.049951010442660114,0.0,0.0,0.4238683127572016,0.40540540540540543,0.4545454545454546,0.0,0
2024-11-20 20:00:00+00:00,0.28136882129277563,-0.8660254037844386,0.5000000000000001,2,0,0.5,0.41666666666666663,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3079847908745248,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.30394056847545214,0.17072671443193443,0.11221619845264105,0.0,0.0,0.44855967078189296,0.3648648648648649,0.4545454545454546,0.0,0
2024-11-20 21:00:00+00:00,0.29657794676806093,-0.7071067811865477,0.7071067811865474,2,0,0.4583333333333333,0.5,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28136882129277563,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.30142118863049117,0.16753326509723654,0.10214035087192483,0.0,0.0,0.45349794238683117,0.5135135135135136,0.4545454545454546,0.0,0
2024-11-20 22:00:00+00:00,0.2927756653992395,-0.5000000000000004,0.8660254037844384,2,0,0.5,0.4583333333333333,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29657794676806093,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.2990956072351423,0.16458546571136123,0.09672971578532753,0.0,0.0,0.46502057613168724,0.44594594594594594,0.4545454545454546,0.0,0
2024-11-20 23:00:00+00:00,0.3079847908745248,-0.25881904510252157,0.9659258262890681,2,0,0.5,0.5,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2927756653992395,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.2965116279069768,0.16528732270799829,0.08867937410260246,0.0,0.0,0.4732510288065843,0.5135135135135136,0.4545454545454546,0.0,1
2024-11-21 00:00:00+00:00,0.30418250950570336,0.0,1.0,3,0,0.5,0.5,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3079847908745248,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.2932816537467702,0.1651995905834185,0.08210841481878202,0.0,0.0,0.4794238683127572,0.44594594594594594,0.4545454545454546,0.0,0
2024-11-21 01:00:00+00:00,0.3231939163498099,0.25881904510252074,0.9659258262890683,3,0,0.4583333333333333,0.5,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30418250950570336,0.3079847908745248,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.29586563307493563,0.1678607983623337,0.0844655930594319,0.0,0.0,0.47873799725651567,0.5270270270270271,0.4545454545454546,0.0,1
2024-11-21 02:00:00+00:00,0.3269961977186313,0.49999999999999994,0.8660254037844387,3,0,0.41666666666666663,0.4583333333333333,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3231939163498099,0.28136882129277563,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.30361757105943155,0.1704810644831114,0.08759248307387092,0.0,0.0,0.4732510288065843,0.472972972972973,0.4545454545454546,0.0,1
2024-11-21 03:00:00+00:00,0.3269961977186313,0.7071067811865476,0.7071067811865476,3,0,0.375,0.41666666666666663,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3269961977186313,0.29657794676806093,0.3231939163498099,0.3231939163498099,0.3231939163498099,0.30878552971576223,0.17262491858192974,0.08879805151449877,0.0,0.0,0.46427235316124205,0.4594594594594595,0.4545454545454546,0.0,1
