zone,rows,seq,features,test_loss,test_mae_norm,robust_mape,epochs,params
DE,8761,8714,14,0.011218524537980556,0.11602432280778885,103.5195065400969,32,481304
US-MIDA-PJM,8761,8714,14,0.003477024147287011,0.06607461720705032,16.048656274833313,38,481304
US-NW-PACW,8660,8613,14,0.007609916385263205,0.09774135798215866,15.776656410423346,42,481304
IE,8761,8714,14,0.01121674943715334,0.11488020420074463,69.80896894118163,21,481304
SG,8761,8714,14,0.007102384697645903,0.07244451344013214,22.775624673219514,29,481304
BE,8761,8714,14,0.009912271983921528,0.10679090023040771,48.03670021935044,29,481304
US-MIDW-MISO,8761,8714,14,0.004182630684226751,0.07068237662315369,9.594953234846777,36,481304
JP-TK,8761,8714,14,0.003380624344572425,0.051741428673267365,7.350780841419871,49,481304
